Property_ID,Full_Address,Suburb,Postcode,Property_Type,Beds,Baths,Car_Spaces,Land_Size_sqm,Raw_Price,Numeric_Price,Latitude,Longitude,URL,Last_Updated
2020578259,"9B Barce Place, HEIDELBERG WEST VIC 3081",HEIDELBERG WEST,3081,House,3,1,1,0.0,"$810,000",810000.0,-37.737587,145.03706,https://www.domain.com.au/9b-barce-place-heidelberg-west-vic-3081-2020578259,2026-03-09
2020614576,"2/8 White Street, RESERVOIR VIC 3073",RESERVOIR,3073,Apartment / Unit / Flat,2,1,1,0.0,"EOI $580,000 - $630,000",605000.0,-37.709755,145.01076,https://www.domain.com.au/2-8-white-street-reservoir-vic-3073-2020614576,2026-03-09
2020633112,"23 Moreton Street, BALWYN NORTH VIC 3104",BALWYN NORTH,3104,House,4,2,2,627.0,"$1,680,000-$1,780,000",1730000.0,-37.784084,145.09482,https://www.domain.com.au/23-moreton-street-balwyn-north-vic-3104-2020633112,2026-03-09
2020654855,"168A High Street, DONCASTER VIC 3108",DONCASTER,3108,House,5,2,2,645.0,"$1,680,000 - $1,830,000",1755000.0,-37.775925,145.11403,https://www.domain.com.au/168a-high-street-doncaster-vic-3108-2020654855,2026-03-09
2020654891,"4 Naroon Road, ALPHINGTON VIC 3078",ALPHINGTON,3078,House,4,2,2,611.0,"$1,900,000 - $2,090,000",1995000.0,-37.77825,145.02852,https://www.domain.com.au/4-naroon-road-alphington-vic-3078-2020654891,2026-03-09
2020654905,"6/10-12 Lawson Parade, HEIDELBERG HEIGHTS VIC 3081",HEIDELBERG HEIGHTS,3081,Apartment / Unit / Flat,3,1,1,0.0,"EOI $680,000 - $740,000",710000.0,-37.743523,145.05444,https://www.domain.com.au/6-10-12-lawson-parade-heidelberg-heights-vic-3081-2020654905,2026-03-09
2020655091,"11 Central Avenue, BALWYN NORTH VIC 3104",BALWYN NORTH,3104,House,4,2,2,776.0,"$2,100,000 - $2,300,000",2200000.0,-37.783382,145.0851,https://www.domain.com.au/11-central-avenue-balwyn-north-vic-3104-2020655091,2026-03-09
2020655818,"2/143-145 Peel Street, KEW VIC 3101",KEW,3101,Townhouse,3,1,2,0.0,"Auction $950,000 - $1,045,000",,-37.798176,145.03406,https://www.domain.com.au/2-143-145-peel-street-kew-vic-3101-2020655818,2026-03-09
2020656055,"901/642 Doncaster Road, DONCASTER VIC 3108",DONCASTER,3108,Apartment / Unit / Flat,1,1,1,0.0,"$460,000",460000.0,-37.787575,145.12701,https://www.domain.com.au/901-642-doncaster-road-doncaster-vic-3108-2020656055,2026-03-09
2020656288,"3/10-12 Paul Street, DONCASTER VIC 3108",DONCASTER,3108,Apartment / Unit / Flat,3,2,2,446.0,"$980,000 - $1,070,000",1025000.0,-37.78681,145.10352,https://www.domain.com.au/3-10-12-paul-street-doncaster-vic-3108-2020656288,2026-03-09
2020656495,"205/3 Cartmell Street, HEIDELBERG VIC 3084",HEIDELBERG,3084,Apartment / Unit / Flat,2,2,1,0.0,"$600,000 - $660,000",630000.0,-37.75532,145.06659,https://www.domain.com.au/205-3-cartmell-street-heidelberg-vic-3084-2020656495,2026-03-09
2020656825,"211/40 Burgundy Street, HEIDELBERG VIC 3084",HEIDELBERG,3084,Apartment / Unit / Flat,2,1,1,0.0,"$530,000 - $580,000",555000.0,-37.75638,145.06921,https://www.domain.com.au/211-40-burgundy-street-heidelberg-vic-3084-2020656825,2026-03-09
2020657849,"3 Robin Court, DONCASTER VIC 3108",DONCASTER,3108,House,6,3,2,468.0,"Auction $1,900,000 - $2,090,000",,-37.773834,145.1291,https://www.domain.com.au/3-robin-court-doncaster-vic-3108-2020657849,2026-03-09
2020658117,"4/146 St Vigeons Road, RESERVOIR VIC 3073",RESERVOIR,3073,Apartment / Unit / Flat,2,1,1,0.0,"Auction $540,000 - $590,000",,-37.705215,145.0178,https://www.domain.com.au/4-146-st-vigeons-road-reservoir-vic-3073-2020658117,2026-03-09
2020658138,"76B Para Road, MONTMORENCY VIC 3094",MONTMORENCY,3094,House,3,1,2,538.0,"$850,000 - $900,000",875000.0,-37.719437,145.11397,https://www.domain.com.au/76b-para-road-montmorency-vic-3094-2020658138,2026-03-09
2020658254,"2A Hodgson Street, TEMPLESTOWE LOWER VIC 3107",TEMPLESTOWE LOWER,3107,Townhouse,3,2,2,413.0,"$1,100,000 - $1,200,000",1150000.0,-37.767296,145.10345,https://www.domain.com.au/2a-hodgson-street-templestowe-lower-vic-3107-2020658254,2026-03-09
2020658467,"33 Morobe Street, HEIDELBERG WEST VIC 3081",HEIDELBERG WEST,3081,House,3,2,2,0.0,"EOI $820,000 - $900,000",860000.0,-37.739773,145.03947,https://www.domain.com.au/33-morobe-street-heidelberg-west-vic-3081-2020658467,2026-03-09
